crossover: 0.800 mutation: 0.030 population: 40
Generation,Max,Total,Average
1,4,28,0.700
2,4,51,1.275
3,4,65,1.625
4,5,94,2.350
5,6,125,3.125
6,7,149,3.725
7,7,167,4.175
8,7,180,4.500
9,7,196,4.900
10,8,201,5.025
11,8,214,5.350
12,8,223,5.575
13,8,227,5.675
14,8,227,5.675
15,8,236,5.900
16,8,239,5.975
17,9,244,6.100
18,9,269,6.725
19,10,265,6.625
20,10,260,6.500
21,11,268,6.700
22,11,285,7.125
23,11,300,7.500
24,11,304,7.600
25,11,296,7.400
26,11,295,7.375
27,11,296,7.400
28,11,293,7.325
29,11,311,7.775
30,11,340,8.500
31,12,339,8.475
32,12,344,8.600
33,12,337,8.425
34,12,321,8.025
35,13,335,8.375
36,13,338,8.450
37,13,360,9.000
38,13,350,8.750
39,13,364,9.100
40,13,358,8.950
41,13,363,9.075
42,13,367,9.175
43,13,362,9.050
44,13,366,9.150
45,13,384,9.600
46,14,383,9.575
47,14,397,9.925
48,14,378,9.450
49,14,395,9.875
50,14,402,10.050
51,14,418,10.450
52,14,412,10.300
53,14,432,10.800
54,14,434,10.850
55,14,411,10.275
56,15,441,11.025
57,15,431,10.775
58,15,443,11.075
59,15,471,11.775
60,15,481,12.025
61,15,461,11.525
62,15,455,11.375
63,15,451,11.275
64,15,479,11.975
65,15,452,11.300
66,16,482,12.050
67,16,519,12.975
68,16,496,12.400
69,16,500,12.500
70,16,498,12.450
71,16,495,12.375
72,16,499,12.475
73,16,495,12.375
74,16,484,12.100
75,16,490,12.250
76,16,484,12.100
77,16,498,12.450
78,16,508,12.700
79,16,497,12.425
80,17,511,12.775
81,17,514,12.850
82,17,520,13.000
83,17,515,12.875
84,17,505,12.625
85,17,494,12.350
86,17,468,11.700
87,17,487,12.175
88,17,505,12.625
89,17,482,12.050
90,17,498,12.450
91,17,489,12.225
92,17,486,12.150
93,17,496,12.400
94,17,499,12.475
95,17,518,12.950
96,17,502,12.550
97,17,490,12.250
98,17,475,11.875
99,17,469,11.725
100,17,507,12.675
101,17,509,12.725
102,17,506,12.650
103,17,494,12.350
104,17,522,13.050
105,17,512,12.800
106,17,524,13.100
107,17,514,12.850
108,17,517,12.925
109,17,534,13.350
110,17,520,13.000
111,17,504,12.600
112,17,494,12.350
113,17,530,13.250
114,17,502,12.550
115,17,504,12.600
116,18,524,13.100
117,18,509,12.725
118,18,519,12.975
119,18,556,13.900
120,18,549,13.725
121,18,533,13.325
122,18,511,12.775
123,18,526,13.150
124,18,519,12.975
125,18,548,13.700
126,18,544,13.600
127,18,550,13.750
128,18,560,14.000
129,18,570,14.250
130,18,578,14.450
131,19,569,14.225
132,19,540,13.500
133,19,554,13.850
134,19,558,13.950
135,19,547,13.675
136,19,549,13.725
137,19,533,13.325
138,19,527,13.175
139,19,551,13.775
140,19,553,13.825
141,19,541,13.525
142,19,557,13.925
143,19,567,14.175
144,19,557,13.925
145,19,546,13.650
146,19,537,13.425
147,19,549,13.725
148,19,541,13.525
149,19,534,13.350
150,19,557,13.925
151,19,566,14.150
152,19,565,14.125
153,19,554,13.850
154,19,570,14.250
155,19,561,14.025
156,19,562,14.050
157,19,532,13.300
158,19,526,13.150
159,19,531,13.275
160,19,556,13.900
161,19,565,14.125
162,19,543,13.575
163,19,527,13.175
164,19,534,13.350
165,19,559,13.975
166,19,565,14.125
167,19,570,14.250
168,19,574,14.350
169,19,566,14.150
170,19,578,14.450
171,19,569,14.225
172,19,567,14.175
173,19,559,13.975
174,19,563,14.075
175,19,552,13.800
176,19,556,13.900
177,19,550,13.750
178,19,547,13.675
179,19,576,14.400
180,19,562,14.050
181,19,555,13.875
182,19,555,13.875
183,19,540,13.500
184,19,565,14.125
185,19,559,13.975
186,19,550,13.750
187,19,565,14.125
188,19,565,14.125
189,19,569,14.225
190,19,586,14.650
191,19,580,14.500
192,19,548,13.700
193,19,529,13.225
194,19,533,13.325
195,19,552,13.800
196,19,547,13.675
197,19,576,14.400
198,19,568,14.200
199,19,570,14.250
200,19,569,14.225
201,19,570,14.250
202,19,560,14.000
203,19,562,14.050
204,19,541,13.525
205,19,529,13.225
206,19,523,13.075
207,19,517,12.925
208,19,534,13.350
209,19,541,13.525
210,19,548,13.700
211,19,546,13.650
212,20,575,14.375
213,20,580,14.500
214,20,571,14.275
215,20,573,14.325
216,20,574,14.350
217,20,578,14.450
218,20,587,14.675
219,20,593,14.825
220,20,562,14.050
221,20,564,14.100
222,20,536,13.400
223,20,524,13.100
224,20,509,12.725
225,20,496,12.400
226,20,494,12.350
227,20,525,13.125
228,20,541,13.525
229,20,546,13.650
230,20,524,13.100
231,20,523,13.075
232,20,518,12.950
233,20,519,12.975
234,20,543,13.575
235,20,547,13.675
236,20,532,13.300
237,20,534,13.350
238,20,518,12.950
239,20,551,13.775
240,20,560,14.000
241,20,564,14.100
242,20,555,13.875
243,20,557,13.925
244,20,547,13.675
245,20,550,13.750
246,20,548,13.700
247,20,564,14.100
248,20,564,14.100
249,20,565,14.125
250,20,562,14.050
